permitnum,statuscurrent,applieddate,issueddate,completeddate,permittype,permittypemapped,permitclass,permitclassgroup,permitclassmapped,workclass,workclassgroup,workclassmapped,description,applicantname,contractorname,housingunits,estprojectcost,totalsqft,originaladdress,communitycode,communityname,latitude,longitude,locationcount,locationtypes,locationaddresses,locationswkt,locationsgeojson,point,:@computed_region_4b54_tmc4,:@computed_region_4a3i_ccfj,:@computed_region_kxmf_bzkv,:@computed_region_p8tp_5dkv,:@computed_region_qeuu_piif,:@computed_region_xxr9_iwz2
BP2023-04966,Completed,2023-04-14T00:00:00.000,2023-08-09T00:00:00.000,2024-06-18T00:00:00.000,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,New,New,New,Secondary Suite,GENEX BUILDER GROUP,GENEX BUILDER GROUP,1,72134.58,,2322R 45 ST NW,MON,MONTGOMERY,51.0741005136792,-114.153454486383,3,Titled Parcel;Building;Building Suite,4515 23 AV NW;2322 45 ST NW;2322R 45 ST NW,"MULTIPOINT (-114.153454486383 51.0741005136792,-114.15362288455042 51.07407091419021,-114.15368799623917 51.07401468796794)","{""type"":""MultiPoint"",""coordinates"":[[-114.1534545,51.0741005],[-114.1536229,51.0740709],[-114.153688,51.0740147]]}","{'type': 'Point', 'coordinates': [-114.153454486383, 51.0741005136792]}",13,2,24,7,246,7
BP2024-07960,Completed,2024-04-28T00:00:00.000,2024-05-22T00:00:00.000,2025-02-11T00:00:00.000,Residential Improvement Project,Building,9999 - Unspecified,Unspecified,Residential,New,New,New,Secondary Suite,,,1,84972.09,,305B CARRINGWOOD CL NW,CAR,CARRINGTON,51.18836503339918,-114.09123412937176,3,Titled Parcel;Building;Building Suite,305 CARRINGWOOD CL NW;305 CARRINGWOOD CL NW;305B CARRINGWOOD CL NW,"MULTIPOINT (-114.09123412937176 51.18836503339918,-114.0913733683546 51.18837695271729,-114.0913659307523 51.188413608771214)","{""type"":""MultiPoint"",""coordinates"":[[-114.0912341,51.188365],[-114.0913734,51.188377],[-114.0913659,51.1884136]]}","{'type': 'Point', 'coordinates': [-114.09123412937176, 51.18836503339918]}",11,2,242,12,159,3
BP2025-19916,Issued Permit,2025-10-09T00:00:00.000,2025-11-08T00:00:00.000,,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,Improvement,Existing,Secondary Suite,BOREON BUILDERS,BOREON BUILDERS,1,71785.26,,39 CREEKSTONE GD SW,PCK,PINE CREEK,50.856423794428686,-114.06140833093029,2,Titled Parcel;Building,39 CREEKSTONE GD SW;39 CREEKSTONE GD SW,"MULTIPOINT (-114.06140833093029 50.856423794428686,-114.0614169234766 50.85630458216716)","{""type"":""MultiPoint"",""coordinates"":[[-114.0614083,50.8564238],[-114.0614169,50.8563046]]}","{'type': 'Point', 'coordinates': [-114.06140833093029, 50.856423794428686]}",6,3,133,6,208,13
BP2024-21268,Completed,2024-10-06T00:00:00.000,2024-11-01T00:00:00.000,2025-01-23T00:00:00.000,Residential Improvement Project,Building,1301 - Private Detached Garage,Garage,Residential,New,New,New,Garage,,,0,38576,,197 EDITH GR NW,GLR,GLACIER RIDGE,51.18921859316943,-114.17165260788552,2,Titled Parcel;Building,197 EDITH GR NW;197 EDITH GR NW,"MULTIPOINT (-114.17165260788552 51.18921859316943,-114.1717864174964 51.18926446807437)","{""type"":""MultiPoint"",""coordinates"":[[-114.1716526,51.1892186],[-114.1717864,51.1892645]]}","{'type': 'Point', 'coordinates': [-114.17165260788552, 51.18921859316943]}",3,2,225,10,163,2
BP2023-14468,Completed,2023-08-28T00:00:00.000,2024-08-12T00:00:00.000,2025-07-30T00:00:00.000,Residential Improvement Project,Building,1101 - Improvements (Single Family),Single Family,Residential,Alteration,Improvement,Existing,Improvements,,,0,2850,,11 HOGARTH CR SW,HAY,HAYSBORO,50.97354984161032,-114.07889755548366,2,Titled Parcel;Building,11 HOGARTH CR SW;11 HOGARTH CR SW,"MULTIPOINT (-114.07889755548366 50.97354984161032,-114.07892563344554 50.9734736516865)","{""type"":""MultiPoint"",""coordinates"":[[-114.0788976,50.9735498],[-114.0789256,50.9734737]]}","{'type': 'Point', 'coordinates': [-114.07889755548366, 50.97354984161032]}",8,1,195,5,12,11
BP2023-18619,Completed,2023-10-27T00:00:00.000,2023-11-15T00:00:00.000,2024-05-23T00:00:00.000,Single Construction Permit,Building,1106 - Single Family House,Single Family,Residential,New,New,New,"SFD,DECK,PORCH,SSuite",EXCEL HOMES LIMITED PARTNERSHIP,EXCEL HOMES LIMITED PARTNERSHIP,1,252366.4,1648,300B HOMESTEAD DR NE,HSD,HOMESTEAD,51.118264635990364,-113.91506599582753,3,Titled Parcel;Building;Building Suite,300 HOMESTEAD DR NE;300 HOMESTEAD DR NE;300B HOMESTEAD DR NE,"MULTIPOINT (-113.91506599582753 51.118264635990364,-113.91490310409439 51.11826762798191,-113.9149135680249 51.118247399957845)","{""type"":""MultiPoint"",""coordinates"":[[-113.915066,51.1182646],[-113.9149031,51.1182676],[-113.9149136,51.1182474]]}","{'type': 'Point', 'coordinates': [-113.91506599582753, 51.118264635990364]}",11,4,164,1,144,5
BP2007-05829,Completed,2007-04-30T00:00:00.000,2007-05-17T00:00:00.000,2007-11-08T00:00:00.000,Single Construction Permit,Building,1106 - Single Family House,Single Family,Residential,New,New,New,"SFD,BSMT-DEV,PORCH,",JAYMAN BUILT,JAYMAN BUILT,1,114674.8,1012,91 PANORA CL NW,PAN,PANORAMA HILLS,51.167209191028604,-114.09313916424955,1,Titled Parcel,91 PANORA CL NW,POINT (-114.09313916424955 51.167209191028604),"{""type"":""Point"",""coordinates"":[-114.0931392,51.1672092]}","{'type': 'Point', 'coordinates': [-114.09313916424955, 51.167209191028604]}",11,2,235,12,219,3
BP2021-05223,Completed,2021-04-04T00:00:00.000,2021-05-20T00:00:00.000,2024-04-03T00:00:00.000,Residential Improvement Project,Building,1301 - Detached Garage,Garage,Residential,New,New,New,Improvements,,,0,1,,408 16A ST NW,HIL,HILLHURST,51.05549539332836,-114.09917487951786,2,Titled Parcel;Building,408 16A ST NW;408 16A ST NW,"MULTIPOINT (-114.09917487951786 51.05549539332836,-114.09900655058424 51.05549529330435)","{""type"":""MultiPoint"",""coordinates"":[[-114.0991749,51.0554954],[-114.0990066,51.0554953]]}","{'type': 'Point', 'coordinates': [-114.09917487951786, 51.05549539332836]}",7,2,40,7,183,7
BP2023-20533,Completed,2023-11-28T00:00:00.000,2023-12-22T00:00:00.000,2024-08-12T00:00:00.000,Residential Improvement Project,Building,1101 - Improvements (Single Family),Single Family,Residential,Alteration,Improvement,Existing,Improvements,BLOOM ARCHITECTURE,,0,125000,,507 CANTRELL DR SW,CAN,CANYON MEADOWS,50.9386241143937,-114.0710298163196,2,Titled Parcel;Building,507 CANTRELL DR SW;507 CANTRELL DR SW,"MULTIPOINT (-114.0710298163196 50.9386241143937,-114.07121569533925 50.938625736243644)","{""type"":""MultiPoint"",""coordinates"":[[-114.0710298,50.9386241],[-114.0712157,50.9386257]]}","{'type': 'Point', 'coordinates': [-114.0710298163196, 50.9386241143937]}",5,1,283,6,116,13
BP2024-20160,Completed,2024-09-23T00:00:00.000,2024-11-04T00:00:00.000,2025-07-31T00:00:00.000,Single Construction Permit,Building,1106 - Single Family House,Single Family,Residential,New,New,New,"SFD,PORCH,SSuite",CARDEL HOMES,CARDEL HOMES,1,239348.46,1586,4B ALDERWOOD CL SE,ACA,ACADIA,50.97404509626756,-114.04870168416045,3,Titled Parcel;Building;Building Suite,4 ALDERWOOD CL SE;4 ALDERWOOD CL SE;4B ALDERWOOD CL SE,"MULTIPOINT (-114.04870168416045 50.97404509626756,-114.04877839556251 50.97394215752622,-114.04874737300656 50.973918859812386)","{""type"":""MultiPoint"",""coordinates"":[[-114.0487017,50.9740451],[-114.0487784,50.9739422],[-114.0487474,50.9739189]]}","{'type': 'Point', 'coordinates': [-114.04870168416045, 50.97404509626756]}",10,3,174,5,151,11
BP2024-00407,Completed,2024-01-08T00:00:00.000,2024-01-19T00:00:00.000,2024-06-18T00:00:00.000,Residential Improvement Project,Building,1106 - Addition,Single Family,Residential,Addition,Improvement,Existing,Addition,SEVEN DAY PERMITS,PHANTOM SCREENS,0,54219.13,,2231 BOWNESS RD NW,WHL,WEST HILLHURST,51.05099690858436,-114.11231205342263,2,Titled Parcel;Building,2231 BOWNESS RD NW;2231 BOWNESS RD NW,"MULTIPOINT (-114.11231205342263 51.05099690858436,-114.11231386557445 51.05090878953881)","{""type"":""MultiPoint"",""coordinates"":[[-114.1123121,51.0509969],[-114.1123139,51.0509088]]}","{'type': 'Point', 'coordinates': [-114.11231205342263, 51.05099690858436]}",7,2,280,7,113,7
BP2025-09033,Completed,2025-05-14T00:00:00.000,2025-06-12T00:00:00.000,2025-09-12T00:00:00.000,Commercial / Multi Family Project,Building,5301 - Child Care Facility,Institutional,Non-Residential,Alteration,Improvement,Existing,Leasehold Improvements / Interior Demolition,,,0,15000,,625 4 AV NE,BRD,BRIDGELAND/RIVERSIDE,51.055297967744515,-114.05163068174103,3,Titled Parcel;Titled Parcel;Building,400 EDMONTON TR NE;631 4 AV NE;625 4 AV NE,"MULTIPOINT (-114.05163068174103 51.055297967744515,-114.05062264430131 51.05596950001368,-114.0507381661561 51.055797144029405)","{""type"":""MultiPoint"",""coordinates"":[[-114.0516307,51.055298],[-114.0506226,51.0559695],[-114.0507382,51.0557971]]}","{'type': 'Point', 'coordinates': [-114.05163068174103, 51.055297967744515]}",10,4,137,11,261,9
BP2024-19949,Completed,2024-09-19T00:00:00.000,2024-09-27T00:00:00.000,2025-01-28T00:00:00.000,Residential Improvement Project,Building,1301 - Private Detached Garage,Garage,Residential,New,New,New,Garage,NUVISTA HOMES,NUVISTA HOMES,0,38576,,138 VERSANT VW SW,ALP,ALPINE PARK,50.91774749946885,-114.15842847901412,2,Titled Parcel;Building,138 VERSANT VW SW;138 VERSANT VW SW,"MULTIPOINT (-114.15842847901412 50.91774749946885,-114.15829431964441 50.91772081049676)","{""type"":""MultiPoint"",""coordinates"":[[-114.1584285,50.9177475],[-114.1582943,50.9177208]]}","{'type': 'Point', 'coordinates': [-114.15842847901412, 50.91774749946885]}",5,1,255,6,24,13
BP2024-16726,Completed,2024-08-12T00:00:00.000,2024-08-20T00:00:00.000,2024-10-23T00:00:00.000,Residential Improvement Project,Building,1101 - Basement Development,Single Family,Residential,Alteration,Improvement,Existing,Basement Dev,UMBRELLA CONSTRUCTION BASEMENT BUILDERS,UMBRELLA CONSTRUCTION BASEMENT BUILDERS,0,20554,,205 AUBURN MEADOWS BV SE,AUB,AUBURN BAY,50.896254278417366,-113.94853801347631,2,Titled Parcel;Building,205 AUBURN MEADOWS BV SE;205 AUBURN MEADOWS BV SE,"MULTIPOINT (-113.94853801347631 50.896254278417366,-113.9487031780122 50.89628221999058)","{""type"":""MultiPoint"",""coordinates"":[[-113.948538,50.8962543],[-113.9487032,50.8962822]]}","{'type': 'Point', 'coordinates': [-113.94853801347631, 50.896254278417366]}",4,3,95,8,285,12
BP2024-23628,Pre Backfill Phase,2024-11-07T00:00:00.000,2025-01-14T00:00:00.000,,Single Construction Permit,Building,1106 - Single Family House,Single Family,Residential,New,New,New,"SFD,BSMT-DEV,FIREPLACE,",SILVERPOINT HOMES,SILVERPOINT HOMES,1,484412.15,2909,2209 26 ST SW,KIL,KILLARNEY/GLENGARRY,51.03432905730958,-114.1239214279051,1,Titled Parcel,2209 26 ST SW,POINT (-114.1239214279051 51.03432905730958),"{""type"":""Point"",""coordinates"":[-114.1239214,51.0343291]}","{'type': 'Point', 'coordinates': [-114.1239214279051, 51.03432905730958]}",14,1,182,2,115,8
BP2012-11762,Completed,2012-08-23T00:00:00.000,2012-08-23T00:00:00.000,2013-02-01T00:00:00.000,Residential Improvement Project,Building,1301 - Private Detached Garage,Garage,Residential,New,New,New,Garage,C & J CONSTRUCTION,C & J CONSTRUCTION,0,22846.51,,7919 CHURCHILL DR SW,CHK,CHINOOK PARK,50.98343411071729,-114.09094642865844,1,Titled Parcel,7919 CHURCHILL DR SW,POINT (-114.09094642865844 50.98343411071729),"{""type"":""Point"",""coordinates"":[-114.0909464,50.9834341]}","{'type': 'Point', 'coordinates': [-114.09094642865844, 50.98343411071729]}",8,1,59,5,232,11
BP2022-00396,Completed,2022-01-11T00:00:00.000,2022-01-26T00:00:00.000,2024-11-05T00:00:00.000,Single Construction Permit,Building,1106 - Single Family House,Single Family,Residential,New,New,New,"SFD,BSMT-DEV,FIREPLACE,GARAGE,DECK,PORCH,",EXCEL HOMES LIMITED PARTNERSHIP,EXCEL HOMES LIMITED PARTNERSHIP,1,426572.51,2665,168 MAGNOLIA TC SE,MAH,MAHOGANY,50.88893482520112,-113.91500449099273,2,Titled Parcel;Building,168 MAGNOLIA TC SE;168 MAGNOLIA TC SE,"MULTIPOINT (-113.91500449099273 50.88893482520112,-113.91507227429972 50.88904344647293)","{""type"":""MultiPoint"",""coordinates"":[[-113.9150045,50.8889348],[-113.9150723,50.8890434]]}","{'type': 'Point', 'coordinates': [-113.91500449099273, 50.88893482520112]}",4,3,116,8,209,12
BP2023-00170,Completed,2023-01-06T00:00:00.000,2023-03-30T00:00:00.000,2024-02-26T00:00:00.000,Commercial / Multi Family Project,Building,3204 - Warehouse/Office,Commercial,Non-Residential,New,New,New,Cambridge Holdings Commercial Facility,RICK BALBI ARCHITECT,AZIMUTH BUILDERS,0,2616986.38,,56 TECHNOLOGY WY SE,12A,RESIDUAL WARD 12 - SUB AREA 12A,50.964626537949904,-113.90832976296073,2,Titled Parcel;Building,56 TECHNOLOGY WY SE;56 TECHNOLOGY WY SE,"MULTIPOINT (-113.90832976296073 50.964626537949904,-113.90780939188102 50.96461175362353)","{""type"":""MultiPoint"",""coordinates"":[[-113.9083298,50.9646265],[-113.9078094,50.9646118]]}","{'type': 'Point', 'coordinates': [-113.90832976296073, 50.964626537949904]}",4,3,226,8,172,12
BP2024-23493,Completed,2024-11-05T00:00:00.000,2024-11-20T00:00:00.000,2025-06-24T00:00:00.000,Single Construction Permit,Building,1407 - Two Family Semi-Detached (1 Unit),Two Family,Residential,New,New,New,"SEMI-D,PORCH,",PARTNERS DEVELOPMENT GROUP,PARTNERS DEVELOPMENT GROUP,1,179415.08,1616,511 HOMESTEAD DR NE,HSD,HOMESTEAD,51.121492198795025,-113.91546483617091,2,Titled Parcel;Building,511 HOMESTEAD DR NE;511 HOMESTEAD DR NE,"MULTIPOINT (-113.91546483617091 51.121492198795025,-113.91561140573062 51.12148497811296)","{""type"":""MultiPoint"",""coordinates"":[[-113.9154648,51.1214922],[-113.9156114,51.121485]]}","{'type': 'Point', 'coordinates': [-113.91546483617091, 51.121492198795025]}",11,4,164,1,144,5
BP2024-13308,Issued Permit,2024-07-03T00:00:00.000,2024-08-12T00:00:00.000,,Residential Improvement Project,Building,1101 - Improvements (Single Family),Single Family,Residential,Alteration,Improvement,Existing,Improvements,HIGH POINT PLUMBING AND HEATING,,0,500000,,108 LAKE PLACID RD SE,LKB,LAKE BONAVISTA,50.933746935219645,-114.0502650776151,2,Titled Parcel;Building,108 LAKE PLACID RD SE;108 LAKE PLACID RD SE,"MULTIPOINT (-114.0502650776151 50.933746935219645,-114.050273995891 50.933890383300984)","{""type"":""MultiPoint"",""coordinates"":[[-114.0502651,50.9337469],[-114.050274,50.9338904]]}","{'type': 'Point', 'coordinates': [-114.0502650776151, 50.933746935219645]}",6,3,267,13,190,14
BP2024-09803,Completed,2024-05-22T00:00:00.000,2024-06-06T00:00:00.000,2024-10-25T00:00:00.000,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,Improvement,Existing,Secondary Suite,,,1,61131,,184B CITYSPRING WY NE,CSC,CITYSCAPE,51.1502041269142,-113.9543506122436,3,Titled Parcel;Building;Building Suite,184 CITYSPRING WY NE;184 CITYSPRING WY NE;184B CITYSPRING WY NE,"MULTIPOINT (-113.9543506122436 51.1502041269142,-113.9542122885418 51.15018461942037,-113.95421375662619 51.15014543445666)","{""type"":""MultiPoint"",""coordinates"":[[-113.9543506,51.1502041],[-113.9542123,51.1501846],[-113.9542138,51.1501454]]}","{'type': 'Point', 'coordinates': [-113.9543506122436, 51.1502041269142]}",11,4,176,1,15,5
BP2025-00303,Completed,2025-01-08T00:00:00.000,2025-03-10T00:00:00.000,2025-06-06T00:00:00.000,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,Improvement,Existing,Secondary Suite,,,1,56764.5,,64B CITYLINE HE NE,CSC,CITYSCAPE,51.14277334550656,-113.95210680959217,3,Titled Parcel;Building;Building Suite,64 CITYLINE HE NE;64 CITYLINE HE NE;64B CITYLINE HE NE,"MULTIPOINT (-113.95210680959217 51.14277334550656,-113.95224063870084 51.14277758038321,-113.9522440793744 51.14272548715954)","{""type"":""MultiPoint"",""coordinates"":[[-113.9521068,51.1427733],[-113.9522406,51.1427776],[-113.9522441,51.1427255]]}","{'type': 'Point', 'coordinates': [-113.95210680959217, 51.14277334550656]}",11,4,176,1,15,5
BP2024-21246,Completed,2024-10-06T00:00:00.000,2024-10-15T00:00:00.000,2025-01-24T00:00:00.000,Residential Improvement Project,Building,9999 - Unspecified,Unspecified,Residential,Alteration,Improvement,Existing,Secondary Suite,,,1,,,7R CRANFORD PA SE,CRA,CRANSTON,50.87111592896846,-113.96683682482309,3,Titled Parcel;Building;Building Suite,7 CRANFORD PA SE;7 CRANFORD PA SE;7R CRANFORD PA SE,"MULTIPOINT (-113.96683682482309 50.87111592896846,-113.96690457256203 50.87102724384526,-113.96692655506277 50.870962198419434)","{""type"":""MultiPoint"",""coordinates"":[[-113.9668368,50.8711159],[-113.9669046,50.8710272],[-113.9669266,50.8709622]]}","{'type': 'Point', 'coordinates': [-113.96683682482309, 50.87111592896846]}",4,3,294,8,146,12
BP2024-19931,Completed,2024-09-19T00:00:00.000,2024-10-16T00:00:00.000,2025-06-06T00:00:00.000,Residential Improvement Project,Building,1113 - Detached Garage Dwelling Unit,Additional Dwelling,Residential,New,New,New,Additional Dwelling Unit,SUPERIOR EXTERIOR,,1,82089.43,,1612G 16A ST SE,ING,INGLEWOOD,51.03932289628779,-114.02195340403574,2,Titled Parcel;Building,1612 16A ST SE;1612G 16A ST SE,"MULTIPOINT (-114.02195340403574 51.03932289628779,-114.02151884798103 51.03932334568524)","{""type"":""MultiPoint"",""coordinates"":[[-114.0219534,51.0393229],[-114.0215188,51.0393233]]}","{'type': 'Point', 'coordinates': [-114.02195340403574, 51.03932289628779]}",10,3,54,11,104,9
BP2011-07742,Completed,2011-06-29T00:00:00.000,2011-07-20T00:00:00.000,2011-12-08T00:00:00.000,Single Construction Permit,Building,1106 - Single Family House,Single Family,Residential,New,New,New,"SFD,FIREPLACE,GARAGE,PORCH,",TRICO HOMES,TRICO HOMES,1,364104,2801,278 TREMBLANT WY SW,SPH,SPRINGBANK HILL,51.035816405176746,-114.2191643993833,1,Titled Parcel,278 TREMBLANT WY SW,POINT (-114.2191643993833 51.035816405176746),"{""type"":""Point"",""coordinates"":[-114.2191644,51.0358164]}","{'type': 'Point', 'coordinates': [-114.2191643993833, 51.035816405176746]}",1,1,289,14,255,6
BP2023-20266,Issued Permit,2023-11-23T00:00:00.000,2024-06-18T00:00:00.000,,Commercial / Multi Family Project,Building,1606 - Ths Townhouse,Townhouse,Residential,New,New,New,Part 9 Townhouse - New Building - Black and White Building 2,PLAID SHIRT,PLAID SHIRT,6,1693554.38,,#4 905 17 AV SE,RAM,RAMSAY,51.037718234851674,-114.04108860182774,8,Titled Parcel;Building;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite,903 17 AV SE;905 17 AV SE;#5 905 17 AV SE;#3 905 17 AV SE;#6 905 17 AV SE;#2 905 17 AV SE;#1 905 17 AV SE;#4 905 17 AV SE,"MULTIPOINT (-114.04108860182774 51.037718234851674,-114.04079948914257 51.03754692867794,-114.04077865909345 51.03743493271826,-114.04081405727739 51.03755863722863,-114.04076568862891 51.03737525432707,-114.04080980175739 51.03761615510042,-114.04082362786136 51.03767584217513,-114.04078731025068 51.03749570037399)","{""type"":""MultiPoint"",""coordinates"":[[-114.0410886,51.0377182],[-114.0407995,51.0375469],[-114.0407787,51.0374349],[-114.0408141,51.0375586],[-114.0407657,51.0373753],[-114.0408098,51.0376162],[-114.0408236,51.0376758],[-114.0407873,51.0374957]]}","{'type': 'Point', 'coordinates': [-114.04108860182774, 51.037718234851674]}",10,3,132,11,290,9
BP2024-09071,Issued Permit,2024-05-13T00:00:00.000,2025-06-12T00:00:00.000,,Commercial / Multi Family Project,Building,1706 - Rhs Rowhouse,Unspecified,Residential,New,New,New,"A new, 3 storey, 5 unit townhouse, Part 9, Group C occupancy",KALAMOIR CONSTRUCTION,TRINITY HILLS CALGARY GP,5,1273709.73,,#89 1453 NA'A DR SW,MDH,MEDICINE HILL,51.0805983599738,-114.20325944443567,5,Building;Building;Building;Building;Building,#93 1453 NA'A DR SW;#90 1453 NA'A DR SW;#91 1453 NA'A DR SW;#92 1453 NA'A DR SW;#89 1453 NA'A DR SW,"MULTIPOINT (-114.20325944443567 51.0805983599738,-114.20331151158278 51.080413693132535,-114.20328916947814 51.080486988965134,-114.20327429533926 51.080538390903826,-114.20333392276639 51.0803594283479)","{""type"":""MultiPoint"",""coordinates"":[[-114.2032594,51.0805984],[-114.2033115,51.0804137],[-114.2032892,51.080487],[-114.2032743,51.0805384],[-114.2033339,51.0803594]]}","{'type': 'Point', 'coordinates': [-114.20325944443567, 51.0805983599738]}",13,1,57,14,22,6
BP2023-13793,Completed,2023-08-18T00:00:00.000,2023-09-06T00:00:00.000,2024-02-26T00:00:00.000,Single Construction Permit,Building,1106 - Single Family House,Single Family,Residential,New,New,New,"SFD,DECK,PORCH,SSuite",SHANE HOMES,SHANE HOMES,1,267695.18,1754,34B CORNER GLEN CM NE,CNS,CORNERSTONE,51.169511324424526,-113.93925762438548,3,Titled Parcel;Building;Building Suite,34 CORNER GLEN CM NE;34 CORNER GLEN CM NE;34B CORNER GLEN CM NE,"MULTIPOINT (-113.93925762438548 51.169511324424526,-113.9391255062269 51.16948556364474,-113.9391415657854 51.16946254079527)","{""type"":""MultiPoint"",""coordinates"":[[-113.9392576,51.1695113],[-113.9391255,51.1694856],[-113.9391416,51.1694625]]}","{'type': 'Point', 'coordinates': [-113.93925762438548, 51.169511324424526]}",11,4,11,1,204,5
BP2008-08226,Completed,2008-06-26T00:00:00.000,2008-07-14T00:00:00.000,2008-09-25T00:00:00.000,Commercial / Multi Family Project,Building,3204 - Warehouse/Office,Commercial,Non-Residential,Alteration,Improvement,Existing,Interior Partitioning,INTREPID DEVELOPMENTS,INTREPID DEVELOPMENTS,0,25000,,#40 4900 64 AV SE,FHI,FOOTHILLS,50.99694607121129,-113.96175374478328,3,Titled Parcel;Building;Building Suite,5000 64 AV SE;4900 64 AV SE;#40 4900 64 AV SE,"MULTIPOINT (-113.96175374478328 50.99694607121129,-113.9633230937728 50.997346099397966,-113.9633230937728 50.997346099397966)","{""type"":""MultiPoint"",""coordinates"":[[-113.9617537,50.9969461],[-113.9633231,50.9973461],[-113.9633231,50.9973461]]}","{'type': 'Point', 'coordinates': [-113.96175374478328, 50.99694607121129]}",10,3,159,11,53,9
BP2023-18993,Completed,2023-11-02T00:00:00.000,2023-11-22T00:00:00.000,2024-04-04T00:00:00.000,Residential Improvement Project,Building,9999 - Unspecified,Unspecified,Residential,Alteration,Improvement,Existing,Secondary Suite,,MELBY CUSTOM CONTRACTING,1,,,503B 34 AV NE,WIN,WINSTON HEIGHTS/MOUNTVIEW,51.08314769854451,-114.05240953773703,3,Titled Parcel;Building;Building Suite,503 34 AV NE;503 34 AV NE;503B 34 AV NE,"MULTIPOINT (-114.05240953773703 51.08314769854451,-114.0525873674141 51.0830426912116,-114.05254291789608 51.08311364871816)","{""type"":""MultiPoint"",""coordinates"":[[-114.0524095,51.0831477],[-114.0525874,51.0830427],[-114.0525429,51.0831136]]}","{'type': 'Point', 'coordinates': [-114.05240953773703, 51.08314769854451]}",10,4,88,4,244,4
BP2024-04244,Completed,2024-03-12T00:00:00.000,2024-03-25T00:00:00.000,2024-11-05T00:00:00.000,Single Construction Permit,Building,1106 - Single Family House,Single Family,Residential,New,New,New,"SFD,PORCH,",MORRISON HOMES (CALGARY),MORRISON HOMES (CALGARY),1,277610.25,1835,93 LUCAS PL NW,LIV,LIVINGSTON,51.193525270626594,-114.07848133854012,2,Titled Parcel;Building,93 LUCAS PL NW;93 LUCAS PL NW,"MULTIPOINT (-114.07848133854012 51.193525270626594,-114.078348667773 51.193529872265934)","{""type"":""MultiPoint"",""coordinates"":[[-114.0784813,51.1935253],[-114.0783487,51.1935299]]}","{'type': 'Point', 'coordinates': [-114.07848133854012, 51.193525270626594]}",11,2,246,12,212,3
BP2024-03166,Completed,2024-02-26T00:00:00.000,2024-03-12T00:00:00.000,2024-10-31T00:00:00.000,Single Construction Permit,Building,1106 - Single Family House,Single Family,Residential,New,New,New,"SFD,GARAGE,DECK,PORCH,",CEDARGLEN GROUP (THE),CEDARGLEN GROUP (THE),1,433032.26,2679,50 BELMONT MR SW,BLM,BELMONT,50.87212352017264,-114.06389021957328,2,Titled Parcel;Building,50 BELMONT MR SW;50 BELMONT MR SW,"MULTIPOINT (-114.06389021957328 50.87212352017264,-114.06384189828479 50.87226895089077)","{""type"":""MultiPoint"",""coordinates"":[[-114.0638902,50.8721235],[-114.0638419,50.872269]]}","{'type': 'Point', 'coordinates': [-114.06389021957328, 50.87212352017264]}",6,3,113,6,18,13
BP2023-20622,Completed,2023-11-29T00:00:00.000,2023-12-01T00:00:00.000,2024-08-12T00:00:00.000,Demolition,Demolition,9999 - Unspecified,Unspecified,Unspecified,Demolition,Demolition,Existing,,,BLACKOUT CONTRACTING,0,,,430 MEREDITH RD NE,CRE,CRESCENT HEIGHTS,51.05202727995308,-114.05238337634763,2,Titled Parcel;Building,430 MEREDITH RD NE;430 MEREDITH RD NE,"MULTIPOINT (-114.05238337634763 51.05202727995308,-114.05236876490719 51.052287305229385)","{""type"":""MultiPoint"",""coordinates"":[[-114.0523834,51.0520273],[-114.0523688,51.0522873]]}","{'type': 'Point', 'coordinates': [-114.05238337634763, 51.05202727995308]}",7,4,266,7,189,7
BP2023-04875,Completed,2023-04-13T00:00:00.000,2023-05-08T00:00:00.000,2024-02-26T00:00:00.000,Single Construction Permit,Building,1106 - Single Family House,Single Family,Residential,New,New,New,"SFD,PORCH,SSuite",BROOKFIELD RESIDENTIAL (ALBERTA),BROOKFIELD RESIDENTIAL (ALBERTA),1,276566.34,1826,105B SETONSTONE GR SE,SET,SETON,50.86967895301449,-113.9464652471313,3,Titled Parcel;Building;Building Suite,105 SETONSTONE GR SE;105 SETONSTONE GR SE;105B SETONSTONE GR SE,"MULTIPOINT (-113.9464652471313 50.86967895301449,-113.94651930275178 50.86975570748417,-113.94654189147283 50.86973146279884)","{""type"":""MultiPoint"",""coordinates"":[[-113.9464652,50.869679],[-113.9465193,50.8697557],[-113.9465419,50.8697315]]}","{'type': 'Point', 'coordinates': [-113.9464652471313, 50.86967895301449]}",4,3,229,8,145,12
