permitnum,statuscurrent,applieddate,issueddate,completeddate,permittype,permittypemapped,permitclass,permitclassgroup,permitclassmapped,workclass,workclassgroup,workclassmapped,description,applicantname,contractorname,housingunits,estprojectcost,totalsqft,originaladdress,communitycode,communityname,latitude,longitude,locationcount,locationtypes,locationaddresses,locationswkt,locationsgeojson,point,:@computed_region_4b54_tmc4,:@computed_region_4a3i_ccfj,:@computed_region_kxmf_bzkv,:@computed_region_p8tp_5dkv,:@computed_region_qeuu_piif,:@computed_region_xxr9_iwz2
BP2025-06824,Application Received,2025-04-16T00:00:00.000,,,Residential Improvement Project,Building,1201 - Private Swimming Pool,Swimming Pool,Residential,Alteration,Improvement,Existing,Private Swimming Pool,,,0,165000,,333 40 AV SW,EPK,ELBOW PARK,51.01817027295406,-114.07589424872178,2,Titled Parcel;Building,333 40 AV SW;333 40 AV SW,"MULTIPOINT (-114.07589424872178 51.01817027295406,-114.07591088530054 51.01796319164912)","{""type"":""MultiPoint"",""coordinates"":[[-114.0758942,51.0181703],[-114.0759109,51.0179632]]}","{'type': 'Point', 'coordinates': [-114.07589424872178, 51.01817027295406]}",8,1,70,5,134,8
BP2024-19793,Completed,2024-09-17T00:00:00.000,2024-09-27T00:00:00.000,2024-11-04T00:00:00.000,Demolition,Demolition,9999 - Unspecified,Unspecified,Unspecified,Demolition,Demolition,Existing,,YOUR PROPERTY,ALBERT POTTER BOB CAT SERVICES,0,,,1410 5 ST NE,REN,RENFREW,51.06457129844827,-114.05061273697598,2,Titled Parcel;Building,1410 5 ST NE;602 13 AV NE,"MULTIPOINT (-114.05061273697598 51.06457129844827,-114.0505552622027 51.06439330022596)","{""type"":""MultiPoint"",""coordinates"":[[-114.0506127,51.0645713],[-114.0505553,51.0643933]]}","{'type': 'Point', 'coordinates': [-114.05061273697598, 51.06457129844827]}",10,4,171,11,150,9
BP2025-06013,Issued Permit,2025-04-07T00:00:00.000,2025-04-16T00:00:00.000,,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,Improvement,Existing,Secondary Suite,,,1,95189.7,,40 EDITH CR NW,GLR,GLACIER RIDGE,51.1874710731801,-114.16474403907004,2,Titled Parcel;Building,40 EDITH CR NW;40 EDITH CR NW,"MULTIPOINT (-114.16474403907004 51.1874710731801,-114.16456971402847 51.18742446511694)","{""type"":""MultiPoint"",""coordinates"":[[-114.164744,51.1874711],[-114.1645697,51.1874245]]}","{'type': 'Point', 'coordinates': [-114.16474403907004, 51.1874710731801]}",3,2,225,10,163,2
BP2023-20537,Completed,2023-11-28T00:00:00.000,2023-12-19T00:00:00.000,2025-02-19T00:00:00.000,Single Construction Permit,Building,1106 - Single Family House,Single Family,Residential,New,New,New,"SFD,FIREPLACE,GARAGE,PORCH,",VESTA PROPERTIES COPPERFIELD,VESTA PROPERTIES (COPPERFIELD),1,386920.44,2392,329 COPPERHEAD WY SE,CPF,COPPERFIELD,50.91266505749592,-113.92328438056501,2,Titled Parcel;Building,329 COPPERHEAD WY SE;329 COPPERHEAD WY SE,"MULTIPOINT (-113.92328438056501 50.91266505749592,-113.92319251108597 50.91276421006672)","{""type"":""MultiPoint"",""coordinates"":[[-113.9232844,50.9126651],[-113.9231925,50.9127642]]}","{'type': 'Point', 'coordinates': [-113.92328438056501, 50.91266505749592]}",4,3,96,8,47,12
BP2023-21447,Issued Permit,2023-12-13T00:00:00.000,2024-03-25T00:00:00.000,,Commercial / Multi Family Project,Building,5201 - Hospital,Institutional,Non-Residential,Alteration,Improvement,Existing,"Rockyview General Hospital Units 47, 48, 57, 58, 59 Med Room Upgrades",PCL CONSTRUCTION MANAGEMENT,,0,890000,,7007 14 ST SW,EAG,EAGLE RIDGE,50.99098340667878,-114.09557380887895,2,Titled Parcel;Building,7007 14 ST SW;7007 14 ST SW,"MULTIPOINT (-114.09557380887895 50.99098340667878,-114.09762147505005 50.99012002146253)","{""type"":""MultiPoint"",""coordinates"":[[-114.0955738,50.9909834],[-114.0976215,50.99012]]}","{'type': 'Point', 'coordinates': [-114.09557380887895, 50.99098340667878]}",8,1,58,5,83,11
BP2024-18904,Hold,2024-09-06T00:00:00.000,,,Residential Improvement Project,Building,9999 - Unspecified,Unspecified,Residential,Alteration,Improvement,Existing,Secondary Suite,,,1,,,908A 16A ST NE,MAL,MAYLAND HEIGHTS,51.059773130492076,-114.02019599486648,5,Titled Parcel;Building;Entryway;Entryway;Entryway,908 16A ST NE;908 16A ST NE;908B 16A ST NE;908A 16A ST NE;908 16A ST NE,"MULTIPOINT (-114.02019599486648 51.059773130492076,-114.02002516655199 51.05976853917103,-114.02002516655199 51.05976853917103,-114.02002516655199 51.05976853917103,-114.02002516655199 51.05976853917103)","{""type"":""MultiPoint"",""coordinates"":[[-114.020196,51.0597731],[-114.0200252,51.0597685],[-114.0200252,51.0597685],[-114.0200252,51.0597685],[-114.0200252,51.0597685]]}","{'type': 'Point', 'coordinates': [-114.02019599486648, 51.059773130492076]}",12,4,140,3,68,10
BP2023-13716,Completed,2023-08-17T00:00:00.000,2024-02-22T00:00:00.000,2024-07-18T00:00:00.000,Residential Improvement Project,Building,1101 - Improvements (Single Family),Single Family,Residential,Alteration,Improvement,Existing,Improvements,,,0,1300,,4219 MARYVALE DR NE,MRL,MARLBOROUGH,51.05608835225336,-113.97102801372718,2,Titled Parcel;Building,4219 MARYVALE DR NE;4219 MARYVALE DR NE,"MULTIPOINT (-113.97102801372718 51.05608835225336,-113.97104705650534 51.05599656298383)","{""type"":""MultiPoint"",""coordinates"":[[-113.971028,51.0560884],[-113.9710471,51.0559966]]}","{'type': 'Point', 'coordinates': [-113.97102801372718, 51.05608835225336]}",12,4,77,3,291,10
BP2025-06631,Completed,2025-04-14T00:00:00.000,2025-04-16T00:00:00.000,2025-06-19T00:00:00.000,Residential Improvement Project,Building,1301 - Private Detached Garage,Garage,Residential,New,New,New,Garage,ELEGANT BUILDERS,,0,55549.44,,232 MARTIN CROSSING WY NE,MRT,MARTINDALE,51.119298773121656,-113.95568089435893,2,Titled Parcel;Building,232 MARTIN CROSSING WY NE;232 MARTIN CROSSING WY NE,"MULTIPOINT (-113.95568089435893 51.119298773121656,-113.95581939748759 51.11925873183059)","{""type"":""MultiPoint"",""coordinates"":[[-113.9556809,51.1192988],[-113.9558194,51.1192587]]}","{'type': 'Point', 'coordinates': [-113.95568089435893, 51.119298773121656]}",9,4,180,1,21,5
BP2025-06572,Completed,2025-04-14T00:00:00.000,2025-04-16T00:00:00.000,2025-10-22T00:00:00.000,Single Construction Permit,Building,1106 - Single Family House,Single Family,Residential,New,New,New,"SFD,PORCH,",BAYWEST HOMES,BAYWEST HOMES,1,227247.37,1503,40 BARTLETT CR SE,RVW,RANGEVIEW,50.883666670254776,-113.92836465366818,2,Titled Parcel;Building,40 BARTLETT CR SE;40 BARTLETT CR SE,"MULTIPOINT (-113.92836465366818 50.883666670254776,-113.92824870552982 50.883674159623084)","{""type"":""MultiPoint"",""coordinates"":[[-113.9283647,50.8836667],[-113.9282487,50.8836742]]}","{'type': 'Point', 'coordinates': [-113.92836465366818, 50.883666670254776]}",4,3,222,8,210,12
BP2023-20642,Completed,2023-11-29T00:00:00.000,2023-12-18T00:00:00.000,2024-08-27T00:00:00.000,Single Construction Permit,Building,1106 - Single Family House,Single Family,Residential,New,New,New,"SFD,BSMT-DEV,FIREPLACE,GARAGE,PORCH,SSuite",BAYWEST HOMES,BAYWEST HOMES,1,391623.44,2271,149B SAVOY LD SE,RVW,RANGEVIEW,50.88033693413001,-113.91642763019394,3,Titled Parcel;Building;Building Suite,149 SAVOY LD SE;149 SAVOY LD SE;149B SAVOY LD SE,"MULTIPOINT (-113.91642763019394 50.88033693413001,-113.91659891709897 50.880339825547544,-113.91667492500805 50.88030990720151)","{""type"":""MultiPoint"",""coordinates"":[[-113.9164276,50.8803369],[-113.9165989,50.8803398],[-113.9166749,50.8803099]]}","{'type': 'Point', 'coordinates': [-113.91642763019394, 50.88033693413001]}",4,3,222,8,210,12
BP2023-20036,Completed,2023-11-20T00:00:00.000,2023-12-12T00:00:00.000,2024-02-22T00:00:00.000,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,Improvement,Existing,Secondary Suite,DREAM HOMES CREATION,DREAM HOMES CREATION,1,78597,,72B RED SKY GD NE,RSN,REDSTONE,51.173894528888276,-113.95050663509144,3,Titled Parcel;Building;Building Suite,72 RED SKY GD NE;72 RED SKY GD NE;72B RED SKY GD NE,"MULTIPOINT (-113.95050663509144 51.173894528888276,-113.95053777054353 51.174011639725066,-113.9505892395776 51.17403685913679)","{""type"":""MultiPoint"",""coordinates"":[[-113.9505066,51.1738945],[-113.9505378,51.1740116],[-113.9505892,51.1740369]]}","{'type': 'Point', 'coordinates': [-113.95050663509144, 51.173894528888276]}",11,4,3,1,174,5
BP2023-00439,Completed,2023-01-13T00:00:00.000,2023-05-16T00:00:00.000,2024-12-03T00:00:00.000,Commercial / Multi Family Project,Building,3402 - Office,Commercial,Non-Residential,Alteration,Improvement,Existing,Interior Alteration,,,0,125000,,#610 700 2 ST SW,DNC,DOWNTOWN COMMERCIAL CORE,51.0464844704259,-114.06745559839274,3,Titled Parcel;Building;Building Suite,225 7 AV SW;700 2 ST SW;#610 700 2 ST SW,"MULTIPOINT (-114.06745559839274 51.0464844704259,-114.06744599084978 51.046143846039136,-114.06744599084978 51.046143846039136)","{""type"":""MultiPoint"",""coordinates"":[[-114.0674556,51.0464845],[-114.067446,51.0461438],[-114.067446,51.0461438]]}","{'type': 'Point', 'coordinates': [-114.06745559839274, 51.0464844704259]}",7,1,262,7,130,7
BP2023-19979,Completed,2023-11-20T00:00:00.000,2024-02-12T00:00:00.000,2024-02-26T00:00:00.000,Commercial / Multi Family Project,Building,3106 - Retail Shop,Commercial,Non-Residential,Alteration,Improvement,Existing,Interior alterations,NEXT LEVEL THRIFT STORE,,0,,,1045 19 AV SE,RAM,RAMSAY,51.03609909320955,-114.03707888169458,2,Titled Parcel;Building,1045 19 AV SE;1045 19 AV SE,"MULTIPOINT (-114.03707888169458 51.03609909320955,-114.03707220301482 51.036020165350905)","{""type"":""MultiPoint"",""coordinates"":[[-114.0370789,51.0360991],[-114.0370722,51.0360202]]}","{'type': 'Point', 'coordinates': [-114.03707888169458, 51.03609909320955]}",10,3,132,11,290,9
